epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.503,1.3469,2.07808,1.42251,0.34573,0.24298,0.18011,0.06942,2.22136,2.99087,2.20345,0.000555004,0.000555004,0.000555004
2,625.137,1.34242,1.83063,1.42405,0.48324,0.39753,0.38757,0.16203,2.03802,2.19322,2.10127,0.00107402,0.00107402,0.00107402
3,928.942,1.30107,1.73025,1.39203,0.56658,0.41451,0.43989,0.19959,1.97865,2.1477,1.99559,0.00155636,0.00155636,0.00155636
4,1228.04,1.25233,1.61564,1.36117,0.65535,0.53577,0.58291,0.27645,1.86734,1.74073,1.82847,0.00150197,0.00150197,0.00150197
5,1529.15,1.19936,1.509,1.32468,0.67972,0.59243,0.64642,0.30747,1.79556,1.49656,1.75045,0.00144696,0.00144696,0.00144696
6,1828.12,1.15379,1.41689,1.29041,0.72631,0.59382,0.67955,0.33262,1.72643,1.38629,1.72082,0.00139195,0.00139195,0.00139195
7,2125.81,1.13743,1.35927,1.27859,0.73479,0.63381,0.69884,0.35668,1.67861,1.34757,1.6857,0.00133693,0.00133693,0.00133693
8,2425.65,1.11731,1.31733,1.26571,0.76667,0.68353,0.76734,0.39492,1.63501,1.16742,1.60483,0.00128192,0.00128192,0.00128192
9,2723.97,1.09437,1.25843,1.24996,0.8209,0.68301,0.78785,0.42222,1.58602,1.14226,1.57096,0.00122691,0.00122691,0.00122691
10,3020.43,1.0771,1.21771,1.23938,0.81635,0.72743,0.80688,0.42659,1.61481,1.06554,1.57749,0.0011719,0.0011719,0.0011719
11,3319.62,1.07006,1.18876,1.22769,0.81902,0.73528,0.82192,0.43762,1.59206,1.05371,1.55122,0.00111689,0.00111689,0.00111689
12,3620.37,1.04724,1.15114,1.21982,0.83567,0.75596,0.83804,0.4589,1.5565,1.00158,1.55212,0.00106188,0.00106188,0.00106188
13,3920.17,1.03452,1.11741,1.20885,0.83908,0.76544,0.8431,0.46114,1.5446,0.99063,1.53445,0.00100687,0.00100687,0.00100687
14,4218.08,1.02313,1.09992,1.20178,0.85645,0.79201,0.86255,0.48676,1.5302,0.90083,1.51382,0.000951857,0.000951857,0.000951857
15,4512.93,1.01,1.06847,1.19385,0.8687,0.78606,0.87257,0.49868,1.48581,0.88637,1.47491,0.000896846,0.000896846,0.000896846
16,4806.2,1.00807,1.05728,1.19108,0.86948,0.78921,0.8696,0.48465,1.53281,0.89837,1.51289,0.000841835,0.000841835,0.000841835
17,5098.79,0.99059,1.02029,1.17977,0.87058,0.81013,0.88045,0.51093,1.45061,0.86527,1.45658,0.000786824,0.000786824,0.000786824
18,5393.64,0.98355,1.01314,1.17292,0.87922,0.81633,0.89095,0.51632,1.46994,0.83901,1.45463,0.000731813,0.000731813,0.000731813
19,5690.3,0.97422,0.99515,1.16853,0.87719,0.83582,0.89645,0.52169,1.45389,0.81819,1.44264,0.000676802,0.000676802,0.000676802
20,5983.96,0.95733,0.96912,1.15953,0.87852,0.82977,0.89376,0.53307,1.42358,0.80288,1.41667,0.000621791,0.000621791,0.000621791
21,6272.57,0.97583,0.8497,1.16758,0.89556,0.83675,0.90822,0.53983,1.41237,0.77073,1.41922,0.00056678,0.00056678,0.00056678
22,6557.15,0.9607,0.82756,1.15923,0.88739,0.85386,0.90929,0.54703,1.41833,0.74803,1.41909,0.000511769,0.000511769,0.000511769
23,6844.05,0.94699,0.80232,1.15258,0.90454,0.85034,0.91023,0.55036,1.39889,0.74062,1.40482,0.000456758,0.000456758,0.000456758
24,7129,0.93508,0.77552,1.14379,0.91323,0.84773,0.91469,0.55351,1.39436,0.71921,1.40079,0.000401747,0.000401747,0.000401747
25,7414.87,0.92197,0.75995,1.13299,0.91613,0.85161,0.91904,0.56224,1.37717,0.69676,1.38678,0.000346736,0.000346736,0.000346736
26,7701.11,0.90739,0.73719,1.12495,0.90725,0.87015,0.92402,0.56551,1.37171,0.68608,1.37861,0.000291725,0.000291725,0.000291725
27,7987.13,0.89576,0.72174,1.11894,0.92919,0.86255,0.92397,0.57058,1.36395,0.67013,1.37143,0.000236714,0.000236714,0.000236714
28,8272.84,0.8817,0.70386,1.11167,0.91934,0.86793,0.92544,0.57175,1.35799,0.66474,1.36667,0.000181703,0.000181703,0.000181703
29,8560.09,0.86645,0.6853,1.10235,0.92403,0.87981,0.92913,0.57666,1.34804,0.65467,1.35688,0.000126692,0.000126692,0.000126692
30,8850.97,0.85919,0.67233,1.0973,0.9306,0.87965,0.93445,0.5794,1.35087,0.64477,1.3591,7.1681e-05,7.1681e-05,7.1681e-05
